Country_Name,Deaths,Confirmed
Russia,1073,71568
Russia,492,54825
Russia,1531,64959
Russia,704,31615
Russia,5465,68669
Russia,5326,107864
Russia,622,30655
Russia,1313,53425
Russia,2421,64433
Russia,1470,48255
Russia,235,10522
Russia,525,18374
Russia,501,26511
Russia,27787,1578005
Russia,7911,427474
Russia,1889,69184
Russia,38,2020
Russia,5994,158821
Russia,446,21365
Russia,397,41317
Russia,2731,59683
Russia,1982,75952
Russia,955,43790
Russia,1638,69519
Russia,2269,65136
Russia,4260,91016
Russia,1070,63892
Russia,701,47512
Russia,6181,127753
Russia,988,39669
Russia,20840,584589
Russia,1080,50060
Russia,241,31264
Russia,3384,93367
Russia,2455,82507
Russia,1549,46458
Russia,2478,77720
Russia,5432,127188
Russia,811,41187
Russia,698,25811
Russia,550,41558
Russia,2780,52113
Russia,1559,61976
Russia,1585,56554
Russia,266,25294
Russia,1661,47933
Russia,2359,76241
Russia,1750,50395
Russia,2399,84161
Russia,1681,63346
Russia,4118,121814
Russia,644,48277
Russia,1062,57117
Russia,1087,64954
Rwanda,1141,90598
Saint Kitts and Nevis,5,1279
Saint Lucia,118,9258
Saint Vincent and the Grenadines,12,2385
Samoa,0,3
San Marino,90,5351
Sao Tome and Principe,38,2697
Saudi Arabia,8591,545505
Senegal,1812,73257
Serbia,7421,788895
Seychelles,103,20281
Sierra Leone,121,6376
Singapore,55,69233
Slovakia,12552,396487
Slovenia,4458,271418
Solomon Islands,0,20
Somalia,1005,17947
South Africa,83899,2829834
South Sudan,120,11534
Spain,10906,791193
Spain,3746,158758
Spain,2057,70549
Spain,928,97211
Spain,7679,504746
Spain,959,92958
Spain,600,45165
Spain,6302,233650
Spain,7234,297031
Spain,15391,900596
Spain,127,7350
Spain,1907,101223
Spain,2587,184389
Spain,820,39159
Spain,15953,881222
Spain,102,10751
Spain,1713,138640
Spain,1230,81834
Spain,4825,256215
Spain,0,0
Sri Lanka,10504,471863
Sudan,2837,37875
Summer Olympics 2020,0,855
Suriname,743,31392
Sweden,130,13149
Sweden,345,27827
Sweden,560,36616
Sweden,53,4513
Sweden,322,42427
Sweden,126,12931
Sweden,557,44681
Sweden,247,25019
Sweden,318,23108
Sweden,274,27103
Sweden,343,33088
Sweden,641,43802
Sweden,1764,162207
Sweden,479,26662
Sweden,4375,269261
Sweden,541,41614
Sweden,217,21200
Sweden,183,24635
Sweden,481,27323
Sweden,355,28794
Sweden,2388,197489
Switzerland,10927,798497
Syria,2049,28814
Taiwan*,837,16047
Tajikistan,125,17405
Tanzania,50,1367
Thailand,13283,1308343
Timor-Leste,85,17888
Togo,200,22832
Trinidad and Tobago,1342,46013
Tunisia,23901,675771
Turkey,58651,6542624
US,119,9063
US,392,34246
US,65,3207
US,74,3661
US,146,8951
US,42,1422
US,76,2925
US,355,18676
US,127,4930
US,49,2620
US,121,5885
US,25,699
US,68,4337
US,60,2068
US,46,1982
US,147,8260
US,154,7949
US,35,1636
US,31,1496
US,150,5935
US,61,2176
US,222,13033
US,136,7834
US,170,4444
US,211,11279
US,236,13341
US,95,6000
US,394,17789
US,66,2571
US,90,5387
US,94,3915
US,40,1156
US,81,2766
US,48,2753
US,322,15285
US,125,8555
US,1670,104955
US,38,1762
US,259,12363
US,100,3887
US,195,20827
US,173,13207
US,55,1633
US,54,2040
US,556,45695
US,74,3082
US,111,4250
US,249,16291
US,1075,65716
US,44,2943
US,639,31331
US,302,18236
US,0,0
US,30,1294
US,63,2868
US,84,4152
US,54,2671
US,51,5680
US,276,33473
US,261,13934
US,35,1199
US,194,11367
US,163,5861
US,487,31248
US,0,0
US,300,9542
US,43,2353
US,33,1485
US,79,3783
US,3,410
US,1,838
US,220,39506
US,23,4514
US,0,0
US,0,265
US,3,761
US,0,368
US,0,186
US,3,426
US,51,9715
US,0,145
US,5,2497
US,30,7315
US,3,1214
US,6,1639
US,5,1635
US,67,14389
US,0,912
US,4,1536
US,3,905
US,2,219
US,5,373
US,3,1011
US,0,54
US,7,882
US,0,382
US,0,0
US,0,128
US,2,113
US,4,452
US,456,12684
US,307,13370
US,342,20199
US,250,8464
US,95,6505
US,14,765
